MobileId,priceRange,processor,display,primarycamera,battery,frontcamera
Micromax Bolt Q333 2015_october,3650,Quad core,"4.5"" (11.43 cm)",5 MP,1700 mAh,2 MP
Samsung Galaxy Note 5 Dual SIM 64GB 2016_january,43900,Octa core,"5.7"" (14.48 cm)",16 MP,3000 mAh,5 MP
InFocus M2 4G 2015_july,5499,Quad core,"4.2"" (10.67 cm)",8 MP,2010 mAh,8 MP
Takee 1 2015_december,6740,Octa core,"5.5"" (13.97 cm)",13 MP,2500 mAh,5 MP
Honor 4X 2015_march,8499,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax Canvas Fire 4G+ 2015_december,5949,Quad core,"4.7"" (11.94 cm)",8 MP,2000 mAh,5 MP
Lenovo K3 Note Music 2015_november,8990,Octa core,"5.5"" (13.97 cm)",13 MP,2900 mAh,5 MP
HTC Desire 728G Dual Sim 2015_november,10999,Octa core,"5.5"" (13.97 cm)",13 MP,2800 mAh,5 MP
Asus Zenfone Selfie 32GB 2015_august,16299,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,13 MP
Intex Aqua 4G 2015_december,5999,Quad core,"5.0"" (12.7 cm)",8 MP,2230 mAh,2 MP
Panasonic Eluga I2 2015_august,6399,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Motorola Moto X Force 64GB 2016_february,29999,Octa core,"5.4"" (13.72 cm)",21 MP,3760 mAh,5 MP
LG G3 Stylus 2014_october,9500,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,1.3 MP
HTC Desire 826x 2015_july,18699,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,13 MP
Swipe Marathon 2014_december,2978,Dual core,"4.5"" (11.43 cm)",5 MP,4000 mAh,0.3 MP
Oppo N1 16GB 2013_october,26200,Quad core,"5.9"" (14.99 cm)",13 MP,3610 mAh,0.3 MP
Acer Liquid Z630S 2015_november,9799,Octa core,"5.5"" (13.97 cm)",8 MP,4000 mAh,8 MP
Lava Iris X5 4G 2015_july,10750,Quad core,"5.0"" (12.7 cm)",13 MP,2500 mAh,8 MP
Microsoft Nokia 222 Dual SIM 2015_october,3999,Quad core,"2.4"" (6.1 cm)",2 MP,1100 mAh,8 MP
Nokia X2 2014_august,8599,Dual core,"4.3"" (10.92 cm)",5 MP,1800 mAh,0.3 MP
Honor 6 2014_october,14230,Octa core,"5.0"" (12.7 cm)",13 MP,3100 mAh,5 MP
Sony Xperia E3 Dual 2014_september,10300,Quad core,"4.5"" (11.43 cm)",5 MP,2330 mAh,0.3 MP
HTC One M8 Eye 2014_november,16040,Quad core,"5.0"" (12.7 cm)",13 MP,2600 mAh,5 MP
Panasonic Eluga Switch 2015_august,10990,Octa core,"5.5"" (13.97 cm)",13 MP,2910 mAh,8 MP
"Asus Zenfone 5 (8GB, 1.6GHz) 2014_july",7999,Dual core,"5.0"" (12.7 cm)",8 MP,2110 mAh,2 MP
Sony Xperia C3 Dual SIM 2014_august,14072,Quad core,"5.5"" (13.97 cm)",8 MP,2500 mAh,5 MP
Google Nexus 5X 32GB 2015_october,28500,Hexa Core,"5.2"" (13.21 cm)",12.3 MP,2700 mAh,5 MP
Samsung Galaxy S6 Edge 64GB 2015_april,34900,Octa core,"5.1"" (12.95 cm)",16 MP,2600 mAh,5 MP
Karbonn K9 2011_june,1099,Octa core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,5 MP
Gionee Elife S5.1 2014_november,9999,Octa core,"4.8"" (12.19 cm)",8 MP,2050 mAh,5 MP
Lenovo Vibe X2 2014_november,9769,Octa core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Lava Iris X9 2015_june,11735,Quad core,"5.5"" (13.97 cm)",13 MP,2650 mAh,8 MP
Panasonic Eluga Mark 2015_december,8925,Octa core,"5.5"" (13.97 cm)",13 MP,2500 mAh,5 MP
InFocus M535 2015_november,7921,Quad core,"5.5"" (13.97 cm)",13 MP,2600 mAh,8 MP
Karbonn A6 Turbo 2015_january,2590,Dual core,"4.5"" (11.43 cm)",5 MP,1500 mAh,2 MP
Nokia Lumia 520 2013_april,6459,Dual core,"4"" (10.16 cm)",5 MP,1430 mAh,2 MP
InFocus M260 2015_november,3899,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Intex Aqua Trend 2015_august,8210,Quad core,"5.0"" (12.7 cm)",13 MP,3000 mAh,5 MP
iBall Andi HD6 2015_august,5499,Quad core,"6.0"" (15.24 cm)",8 MP,3000 mAh,5 MP
Intex Cloud Cube 2015_november,2499,Quad core,"4.5"" (11.43 cm)",2 MP,2000 mAh,0.3 MP
Oppo R7 Lite 2015_september,17990,Octa core,"5.0"" (12.7 cm)",13 MP,2320 mAh,8 MP
Swipe Elite 2015_august,5999,Quad core,"5.0"" (12.7 cm)",13 MP,2500 mAh,8 MP
Karbonn A108 2014_december,1575,Single core,"3.5"" (8.89 cm)",2 MP,1500 mAh,0.3 MP
Nokia Lumia 1320 2014_january,13990,Dual core,"6.0"" (15.24 cm)",5 MP,3400 mAh,0.3 MP
Lava Iris X8 2015_february,7700,Octa core,"5.0"" (12.7 cm)",8 MP,2500 mAh,3 MP
Nokia EOS (Lumia 1020) 2013_july,48327,Dual core,"4.5"" (11.43 cm)",41 MP,2000 mAh,1.2 MP
Intex Ultra 3000 2015_may,1363,Dual core,"2.4"" (6.1 cm)",0.3 MP,3000 mAh,1.2 MP
HTC Desire 526G Plus 16GB 2015_january,6499,Octa core,"4.7"" (11.94 cm)",8 MP,2000 mAh,2 MP
Sony Xperia E4g Dual 2015_april,11290,Quad core,"4.7"" (11.94 cm)",5 MP,2300 mAh,2 MP
Lava Flair P2 2015_december,1844,Dual core,"4.0"" (10.16 cm)",2 MP,1300 mAh,0.3 MP
Intex Turbo i6 2015_june,1550,Dual core,"2.4"" (6.1 cm)",0.3 MP,1150 mAh,0.3 MP
Xiaomi Redmi 1S 2014_september,5999,Quad core,"4.7"" (11.94 cm)",8 MP,2000 mAh,1.6 MP
M-Horse One A9 2016_february,2300,Quad core,"5.0"" (12.7 cm)",5 MP,1600 mAh,2 MP
Intex Cloud Crystal 2.5D 2016_february,6199,Quad core,"5.0"" (12.7 cm)",8 MP,2200 mAh,2 MP
Asus Zenfone 2 ZE551ML 4GB RAM 16GB 1.8Ghz 2015_october,12499,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Lava Arc Blue 2016_january,1479,Quad core,"2.8"" (7.11 cm)",1.3 MP,1200 mAh,5 MP
InFocus Bingo 10 2016_march,4199,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,5 MP
Asus Zenfone 2 ZE551ML 2GB RAM 16GB 2.3Ghz 2015_december,9799,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax Canvas Juice 3+ 2015_october,4999,Quad core,"5.5"" (13.97 cm)",8 MP,4000 mAh,5 MP
Samsung Galaxy S3 Neo 2014_april,9990,Quad core,"4.8"" (12.19 cm)",8 MP,2100 mAh,1.9 MP
HTC Desire 816G 2014_october,12470,Quad core,"5.5"" (13.97 cm)",13 MP,2600 mAh,5 MP
Micromax CG666 2014_may,1399,Quad core,"2.4"" (6.1 cm)",0.3 MP,1700 mAh,5 MP
Samsung Galaxy S6 64GB 2015_april,36900,Octa core,"5.1"" (12.95 cm)",16 MP,2550 mAh,5 MP
Samsung Galaxy Grand Neo 2014_february,13899,Quad core,"5.0"" (12.7 cm)",5 MP,2100 mAh,0.3 MP
Micromax Canvas 4 Plus A315 2014_september,4798,Octa core,"5.0"" (12.7 cm)",13 MP,2000 mAh,5 MP
InFocus Bingo 20 2016_march,4947,Quad core,"4.5"" (11.43 cm)",8 MP,2300 mAh,5 MP
Motorola Moto X 16GB 2014_march,19121,Dual core,"4.7"" (11.94 cm)",10 MP,2200 mAh,2 MP
Panasonic Eluga U 2014_july,5445,Quad core,"5.0"" (12.7 cm)",13 MP,2500 mAh,2 MP
Panasonic Eluga Icon 2015_august,9259,Octa core,"5.5"" (13.97 cm)",13 MP,3500 mAh,8 MP
Sony Xperia M2 Dual 2014_april,11552,Quad core,"4.8"" (12.19 cm)",8 MP,2300 mAh,0.3 MP
Blackberry Q10 2013_june,9999,Dual core,"3.1"" (7.87 cm)",8 MP,2100 mAh,2 MP
Obi Worldphone SF1 16GB 2016_january,11715,Octa core,"5.0"" (12.7 cm)",13 MP,3000 mAh,5 MP
LG G2 32GB 2013_september,19100,Quad core,"5.2"" (13.21 cm)",13 MP,3000 mAh,2.1 MP
Lyf Water 2 2016_january,9600,Octa core,"5.0"" (12.7 cm)",13 MP,2400 mAh,5 MP
Intex Aqua Genx 2015_december,7499,Octa core,"5.5"" (13.97 cm)",13 MP,2850 mAh,5 MP
Oppo Neo 5 2014_december,6045,Quad core,"4.5"" (11.43 cm)",5 MP,1900 mAh,2 MP
Nokia Lumia 625 2013_august,7999,Dual core,"4.7"" (11.94 cm)",5 MP,2000 mAh,0.3 MP
InFocus Bingo 50 2016_march,7499,Quad core,"5.5"" (13.97 cm)",8 MP,2500 mAh,8 MP
Micromax X707 2015_december,1131,Quad core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,8 MP
Blackberry Z30 (A10) 2013_october,18499,Dual core,"5"" (12.7 cm)",8 MP,2880 mAh,2 MP
iBall Cobalt 6 2015_august,12999,Octa core,"6.0"" (15.24 cm)",16 MP,3000 mAh,8 MP
Apple iPhone 4s 8GB 2011_november,21000,Dual core,"3.5"" (8.89 cm)",8 MP,1430 mAh,0.3 MP
Samsung Galaxy Star Pro Duos 2013_october,7550,Single core,"4"" (10.16 cm)",2 MP,1500 mAh,0.3 MP
Samsung Galaxy Grand Max 2015_february,17486,Quad core,"5.25"" (13.34 cm)",13 MP,2500 mAh,5 MP
Intex Cloud Gem Plus 2016_march,2149,Quad core,"4.0"" (10.16 cm)",2 MP,1400 mAh,2 MP
Swipe Virtue 2015_december,4999,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,5 MP
Sony Xperia ZR 2013_august,17990,Quad core,"4.5"" (11.43 cm)",13 MP,2330 mAh,0.3 MP
InFocus M808 2015_november,8780,Octa core,"5.2"" (13.21 cm)",13 MP,2450 mAh,5 MP
Oppo Mirror 5 2015_september,15158,Quad core,"5.0"" (12.7 cm)",8 MP,2420 mAh,5 MP
Intex Aqua Ace 2015_october,7999,Quad core,"5"" (12.7 cm)",13 MP,2300 mAh,5 MP
Intex Cloud Breeze 2016_february,2990,Dual core,"5.0"" (12.7 cm)",5 MP,2300 mAh,2 MP
Oppo Joy 3 2015_july,5990,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Samsung Galaxy S5 Mini 2014_september,12990,Quad core,"4.5"" (11.43 cm)",8 MP,2100 mAh,2.1 MP
Apple iPhone 6s Plus 64GB 2015_october,55899,Dual core,"5.5"" (13.97 cm)",12 MP,2750 mAh,5 MP
Intex Aqua Dream 2 2015_august,5934,Quad core,"5.5"" (13.97 cm)",8 MP,2300 mAh,2 MP
Lenovo A5000 2015_april,8355,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,2 MP
Sony Xperia T3 2014_july,14634,Quad core,"5.3"" (13.46 cm)",8 MP,2500 mAh,1.1 MP
Intex Aqua Super 2015_november,6199,Quad core,"5.0"" (12.7 cm)",8 MP,2150 mAh,2 MP
XOLO Q1000s Plus 2014_august,5999,Quad core,"5.0"" (12.7 cm)",13 MP,3000 mAh,5 MP
Asus Zenfone Go 2015_september,7299,Quad core,"5.0"" (12.7 cm)",8 MP,2070 mAh,2 MP
Lenovo S60 2015_may,7299,Quad core,"5.0"" (12.7 cm)",13 MP,2150 mAh,5 MP
Apple iPhone 6 Plus 64GB 2014_october,45499,Dual core,"5.5"" (13.97 cm)",8 MP,2915 mAh,1.2 MP
LG Spirit LTE 2015_december,7999,Quad core,"4.7"" (11.94 cm)",8 MP,2100 mAh,1 MP
HTC Desire 820q 2014_november,17900,Quad core,"5.5"" (13.97 cm)",13 MP,2600 mAh,8 MP
Sony Xperia Z5 Dual 2015_october,38299,Octa core,"5.2"" (13.21 cm)",23 MP,2900 mAh,5 MP
Sansui U52 2015_october,3590,Quad core,"5"" (12.7 cm)",5 MP,3000 mAh,5 MP
Micromax Canvas Selfie Lens Q345 2015_june,4890,Quad core,"5.0"" (12.7 cm)",8 MP,2800 mAh,5 MP
HTC Desire 616 2014_july,8000,Octa core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Intex Aqua Speed HD 2015_april,4599,Quad core,"4.7"" (11.94 cm)",8 MP,1700 mAh,5 MP
Intex Cloud Jewel 2016_march,5449,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,2 MP
Gionee L700 2013_january,1899,Quad core,"2.6"" (6.6 cm)",1.3 MP,1700 mAh,2 MP
Sony Xperia E4 Dual 2015_march,7824,Quad core,"5.0"" (12.7 cm)",5 MP,2300 mAh,2 MP
Phicomm Energy 653 2015_august,3828,Quad core,"5.0"" (12.7 cm)",8 MP,2230 mAh,2 MP
Panasonic Eluga L2 2015_september,6449,Quad core,"5.5"" (13.97 cm)",8 MP,2500 mAh,2 MP
Swipe Elite 2 2015_november,5260,Quad core,"4.5"" (11.43 cm)",8 MP,1900 mAh,5 MP
Sony Xperia Z1 (Honami) 2013_september,26990,Quad core,"5"" (12.7 cm)",20.7 MP,3000 mAh,2 MP
Oppo Neo 3 2014_august,8990,Dual core,"4.5"" (11.43 cm)",5 MP,1900 mAh,2 MP
Samsung Galaxy Star Advance 2014_july,4799,Single core,"4.3"" (10.92 cm)",3 MP,1800 mAh,2 MP
Intex Aqua Wing 2016_february,4554,Quad core,"4.0"" (10.16 cm)",5 MP,1500 mAh,0.3 MP
Intex Aqua Q7 2015_november,2699,Quad core,"4.5"" (11.43 cm)",2 MP,2000 mAh,0.3 MP
Panasonic Eluga L 4G 2015_may,8999,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,5 MP
Sony Xperia Z1 Compact 2014_february,24790,Quad core,"4.3"" (10.92 cm)",20.7 MP,2300 mAh,2 MP
Nokia Lumia 630 2014_may,8699,Quad core,"4.5"" (11.43 cm)",5 MP,1830 mAh,2 MP
Samsung Galaxy Mega 6.3 I9200 2013_june,15970,Dual core,"6.3"" (16 cm)",8 MP,3200 mAh,1.9 MP
Apple iPhone 4s 32GB 2011_october,14500,Dual core,"3.5"" (8.89 cm)",8 MP,1430 mAh,0.3 MP
Intex Aqua Turbo 4G 2015_august,6446,Quad core,"5.0"" (12.7 cm)",5 MP,3000 mAh,2 MP
Motorola Moto X (2nd Gen) 16GB 2014_october,16999,Quad core,"5.2"" (13.21 cm)",13 MP,2300 mAh,2 MP
Nokia X 2014_march,6990,Dual core,"4.0"" (10.16 cm)",3 MP,1500 mAh,2 MP
Gionee Elife S5.5 2014_march,11950,Octa core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Samsung Galaxy Mega 5.8 I9152 2013_may,12199,Dual core,"5.8"" (14.73 cm)",8 MP,2600 mAh,1.9 MP
Samsung Galaxy Note 5 64GB 2015_september,43900,Octa core,"5.7"" (14.48 cm)",16 MP,3000 mAh,5 MP
Sony Xperia M 2013_august,12000,Dual core,"4"" (10.16 cm)",5 MP,1750 mAh,0.3 MP
Intex Aqua 3G Strong 2015_june,2279,Single core,"4.0"" (10.16 cm)",2 MP,1400 mAh,0.3 MP
Micromax Bolt D321 2015_february,2990,Dual core,"5.0"" (12.7 cm)",5 MP,1800 mAh,0.3 MP
Samsung Galaxy Grand Quattro (Win Duos) I8552 2013_may,8970,Quad core,"4.7"" (11.94 cm)",5 MP,2000 mAh,0.3 MP
Lava Spark One 2016_january,1380,Quad core,"2.4"" (6.1 cm)",0.3 MP,1750 mAh,0.3 MP
UNI N6100 2015_august,1751,Quad core,"4.0"" (10.16 cm)",5 MP,1400 mAh,0.3 MP
Adcom Ikon 4 2016_january,2699,Quad core,"4.0"" (10.16 cm)",5 MP,1500 mAh,2 MP
Asus Zenfone 4 2014_july,6180,Dual core,"4.0"" (10.16 cm)",5 MP,1600 mAh,0.3 MP
Micromax X805 2015_august,1279,Dual core,"2.8"" (7.11 cm)",0.3 MP,1800 mAh,0.3 MP
Micromax Canvas Selfie 2015_february,7235,Octa core,"4.7"" (11.94 cm)",13 MP,2300 mAh,13 MP
Lava KKT 40 Power Plus 2015_december,1631,Octa core,"2.4"" (6.1 cm)",1.3 MP,3000 mAh,13 MP
InFocus M812 2015_october,12899,Quad core,"5.5"" (13.97 cm)",13 MP,2900 mAh,8 MP
Asus Zenfone Zoom ZX551ML 128GB 2016_january,37999,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Sony Xperia Z3 Compact 2014_september,26790,Quad core,"4.6"" (11.68 cm)",20.7 MP,2600 mAh,2.2 MP
Samsung Galaxy S Duos 3 2014_september,5500,Dual core,"4.0"" (10.16 cm)",5 MP,1500 mAh,0.3 MP
Gionee M2 8GB 2014_february,7399,Quad core,"5.0"" (12.7 cm)",8 MP,4200 mAh,2 MP
Samsung Galaxy Core Duos 2013_july,9490,Dual core,"4.3"" (10.92 cm)",5 MP,1800 mAh,0.3 MP
Karbonn A6 2013_march,2718,Single core,"4"" (10.16 cm)",5 MP,1450 mAh,0.3 MP
XOLO LT2000 4G 2015_march,10500,Quad core,"5.5"" (13.97 cm)",8 MP,2920 mAh,2 MP
Microsoft Lumia 640 Dual SIM 2015_april,9999,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,1 MP
Huawei Ascend G750 2014_june,13990,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Nokia Lumia 925 2013_june,15990,Dual core,"4.5"" (11.43 cm)",8.7 MP,2000 mAh,1.2 MP
Celkon A406 2016_january,1799,Single core,"4.0"" (10.16 cm)",2 MP,1450 mAh,0.3 MP
Acer Liquid Z530 2015_november,5999,Quad core,"5.0"" (12.7 cm)",8 MP,2420 mAh,8 MP
Asus Zenfone 5 16GB 2014_july,6499,Dual core,"5.0"" (12.7 cm)",8 MP,2110 mAh,2 MP
Nokia Lumia 920 2013_january,11990,Dual core,"4.5"" (11.43 cm)",8.7 MP,2000 mAh,1.2 MP
Intex Aqua Raze 2016_february,4999,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,2 MP
Lava V2s 2016_march,6999,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,8 MP
Lenovo A6000 Shot 2015_november,9499,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Samsung Galaxy Grand Neo Plus 2015_february,7990,Quad core,"5.0"" (12.7 cm)",5 MP,2100 mAh,2 MP
Lenovo S850 2014_july,7990,Quad core,"5.0"" (12.7 cm)",13 MP,2150 mAh,5 MP
Micromax X801 2015_december,1128,Quad core,"2.4"" (6.1 cm)",0.3 MP,1150 mAh,5 MP
Panasonic P81 2014_may,7990,Octa core,"5.5"" (13.97 cm)",13 MP,2500 mAh,2 MP
Panasonic GD25c 2014_september,1699,Octa core,"2.4"" (6.1 cm)",1.3 MP,1250 mAh,2 MP
Micromax Canvas Amaze Q395 2015_november,4890,Quad core,"5.0"" (12.7 cm)",13 MP,2000 mAh,5 MP
Intex Cloud Swift 2015_october,9108,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,5 MP
HTC One Dual SIM 2013_september,16799,Quad core,"4.7"" (11.94 cm)",4 UP,2300 mAh,2.1 MP
Lava Iris X5 2014_september,9296,Quad core,"5.0"" (12.7 cm)",8 MP,2100 mAh,5 MP
Videocon V3CC1 2016_march,1050,Quad core,"2.8"" (7.11 cm)",1.3 MP,1800 mAh,5 MP
Sony Xperia L 2013_may,13350,Dual core,"4.3"" (10.92 cm)",8 MP,1750 mAh,0.3 MP
Micromax X406 2016_february,1099,Dual core,"1.8"" (4.57 cm)",0.3 MP,1800 mAh,0.3 MP
LG Magna 2015_april,4999,Quad core,"5.0"" (12.7 cm)",8 MP,2540 mAh,5 MP
Lenovo K900 16GB 2013_april,9941,Dual core,"5.5"" (13.97 cm)",13 MP,2500 mAh,2 MP
Sansui U55 2015_october,3999,Quad core,"5.5"" (13.97 cm)",5 MP,2900 mAh,2 MP
Oppo N1 Mini 2014_august,16400,Quad core,"5.0"" (12.7 cm)",13 MP,2140 mAh,2 MP
Gionee Pioneer P3 2013_december,4899,Quad core,"4.3"" (10.92 cm)",5 MP,1700 mAh,0.3 MP
HTC One E8 2014_july,10990,Quad core,"5.0"" (12.7 cm)",13 MP,2600 mAh,5 MP
Gionee P4S 2015_april,5580,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,2 MP
Apple iPhone 4s 64GB 2011_october,15000,Dual core,"3.5"" (8.89 cm)",8 MP,1430 mAh,0.3 MP
Intex Aqua Young 2015_november,3449,Quad core,"5.0"" (12.7 cm)",5 MP,2500 mAh,2 MP
Panasonic GD21 2014_july,1799,Quad core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,2 MP
Micromax X601 2015_august,1190,Quad core,"2.4"" (6.1 cm)",0.3 MP,1450 mAh,2 MP
Videocon Infinium Z45Q Star 2015_august,2999,Quad core,"4.5"" (11.43 cm)",5 MP,1600 mAh,2 MP
Asus Zenfone 2 ZE551ML 4GB RAM 32GB 1.8Ghz 2015_may,14499,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Lava Arc One 2014_october,1399,Quad core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,5 MP
Gionee Pioneer P4 2014_april,6999,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,2 MP
Apple iPhone 6 128GB 2014_october,50824,Dual core,"4.7"" (11.94 cm)",8 MP,1810 mAh,1.2 MP
HTC Desire 326G Dual SIM 2015_june,5490,Quad core,"4.5"" (11.43 cm)",8 MP,2000 mAh,2 MP
Swipe Konnect 4 Neo 2015_february,1999,Dual core,"4.0"" (10.16 cm)",3.2 MP,1500 mAh,0.3 MP
Blackberry Curve 9320 2012_may,6999,Dual core,"2.44"" (6.2 cm)",3.2 MP,1450 mAh,0.3 MP
Intex Aqua Q7 Pro 2016_january,3049,Quad core,"4.5"" (11.43 cm)",2 MP,2000 mAh,0.3 MP
Gionee F103 3GB RAM 2015_november,10199,Quad core,"5.0"" (12.7 cm)",8 MP,2400 mAh,5 MP
Micromax Canvas Knight A350 2014_march,15999,Octa core,"5.0"" (12.7 cm)",16 MP,2350 mAh,8 MP
Samsung Galaxy Mega 2 2014_october,14990,Quad core,"6.0"" (15.24 cm)",8 MP,2800 mAh,5 MP
Micromax Canvas Nitro A310 2014_september,16999,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,5 MP
Lava Iris Atom X 2015_december,2399,Single core,"4.0"" (10.16 cm)",2 MP,1400 mAh,0.3 MP
Spice Stellar Xlife M5 Plus 2015_june,3340,Dual core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Asus Zenfone 2 ZE551ML 4GB RAM 128GB 1.8Ghz  2015_november,22999,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Panasonic P55 2014_november,5311,Quad core,"5.5"" (13.97 cm)",8 MP,2500 mAh,2 MP
Colors Mobile Xfactor Elite E-10 2015_october,4449,Quad core,"5.0"" (12.7 cm)",8 MP,2100 mAh,2 MP
Lava Flair Z1 2015_july,3749,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Samsung Galaxy Star 2013_may,4999,Single core,"3"" (7.62 cm)",2 MP,1200 mAh,2 MP
Micromax Bolt Q336 2015_october,3890,Quad core,"4.5"" (11.43 cm)",5 MP,1700 mAh,2 MP
Gionee P2S 2014_may,4325,Dual core,"4"" (10.16 cm)",5 MP,1600 mAh,0.3 MP
Nokia Lumia 720 2013_april,9990,Dual core,"4.3"" (10.92 cm)",6.7 MP,2000 mAh,1.3 MP
Micromax Unite 3 Q372 2015_may,3999,Quad core,"4.7"" (11.94 cm)",8 MP,2000 mAh,2 MP
Karbonn Alfa A112 2015_december,1829,Single core,"4.0"" (10.16 cm)",2 MP,1300 mAh,0.3 MP
Micromax Canvas 4 2013_july,8068,Quad core,"5"" (12.7 cm)",13 MP,2000 mAh,5 MP
Micromax Canvas Hue 2 A316 2015_june,4999,Octa core,"5"" (12.7 cm)",13 MP,2000 mAh,5 MP
Datawind PocketSurfer 2G4 2015_march,1199,Single core,"3.5"" (8.89 cm)",0.3 MP,1800 mAh,5 MP
Nokia Lumia 525 2013_january,8500,Dual core,"4.0"" (10.16 cm)",5 MP,1430 mAh,5 MP
Lenovo Sisley S90 2015_february,12999,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,8 MP
Nokia Lumia 620 2013_january,6490,Dual core,"3.8"" (9.65 cm)",5 MP,1300 mAh,0.3 MP
Onida i4G1 2015_december,5259,Quad core,"5.0"" (12.7 cm)",8 MP,2300 mAh,5 MP
Jivi JV C300 Flip 2014_march,1220,Quad core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,0.3 MP
Lava Iris 406q 2014_april,9800,Quad core,"4.0"" (10.16 cm)",5 MP,1700 mAh,0.3 MP
Oppo Yoyo 2014_june,8469,Quad core,"4.7"" (11.94 cm)",5 MP,1900 mAh,2 MP
VOX Mobile V6666 2015_june,1999,Quad core,"4"" (10.16 cm)",3.2 MP,1200 mAh,1.3 MP
MTS CG131 2013_december,1925,Quad core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,1.3 MP
Panasonic Eluga S 2014_november,4911,Octa core,"5.0"" (12.7 cm)",8 MP,2100 mAh,5 MP
Karbonn K41 2015_june,1399,Octa core,"2.4"" (6.1 cm)",0.3 MP,2800 mAh,5 MP
XOLO Win Q900S 2014_june,3999,Quad core,"4.7"" (11.94 cm)",8 MP,1800 mAh,2 MP
Micromax X704 2015_december,1321,Quad core,"2.4"" (6.1 cm)",0.3 MP,1400 mAh,2 MP
Micromax Canvas Selfie 3 Q348 2015_august,5436,Quad core,"4.8"" (12.19 cm)",8 MP,2300 mAh,8 MP
Gionee Pioneer P2 2013_august,5950,Dual core,"4"" (10.16 cm)",5 MP,1700 mAh,0.3 MP
Blackberry Classic 2015_january,30800,Dual core,"3.5"" (8.89 cm)",8 MP,2515 mAh,2 MP
Adcom A40 2014_november,2299,Dual core,"4.0"" (10.16 cm)",2 MP,1650 mAh,1.3 MP
Nokia Asha 502 2013_november,3499,Dual core,"3.0"" (7.62 cm)",5 MP,1010 mAh,1.3 MP
Micromax Canvas Fire 4 2015_march,4199,Quad core,"4.5"" (11.43 cm)",8 MP,2000 mAh,2 MP
LG G Flex 2 32GB 2015_april,21990,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,2.1 MP
Zopo Speed 7 Plus 2015_october,6599,Octa core,"5.5"" (13.97 cm)",13.2 MP,3000 mAh,5 MP
Panasonic GD22 2014_september,1499,Octa core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,5 MP
Josh Nest 2015_december,2049,Dual core,"4.0"" (10.16 cm)",3.2 MP,1500 mAh,1.3 MP
Aiek X6 2015_october,1799,Dual core,"1.4"" (3.56 cm)",3.2 MP,400 mAh,1.3 MP
HTC Desire 516 2014_june,6990,Quad core,"5.0"" (12.7 cm)",5 MP,1950 mAh,2 MP
Chilli B35 2016_march,1999,Quad core,"2.4"" (6.1 cm)",0.3 MP,3000 mAh,2 MP
Zen Admire SXY  2016_february,2939,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,2 MP
Micromax Canvas Xpress A99 2014_december,5999,Quad core,"4.5"" (11.43 cm)",5 MP,1950 mAh,0.3 MP
Videocon V1555N 2015_september,1149,Quad core,"2.4"" (6.1 cm)",1.3 MP,3000 mAh,0.3 MP
